Date,Meridional wind speed
1/1/2009,0.20199196
2/1/2009,0.30663276
3/1/2009,0.11130189
4/1/2009,0.1731081
5/1/2009,0.18817441
6/1/2009,0.16369268
7/1/2009,-0.85035765
8/1/2009,-0.075639516
9/1/2009,-0.11904933
10/1/2009,-0.19477935
11/1/2009,0.41797492
12/1/2009,-0.41135734
1/1/2010,0.12515524
2/1/2010,0.185856
3/1/2010,0.19479944
4/1/2010,0.1486179
5/1/2010,0.24437568
6/1/2010,0.002283245
7/1/2010,-0.84981257
8/1/2010,-1.0529503
9/1/2010,-0.74852467
10/1/2010,-0.8264481
11/1/2010,-0.7279823
12/1/2010,-1.0842245
1/1/2011,-1.1365749
2/1/2011,-0.5043109
3/1/2011,-0.19537072
4/1/2011,0.04009615
5/1/2011,0.21376935
6/1/2011,-0.5943426
7/1/2011,-0.64498854
8/1/2011,-0.005510658
9/1/2011,-0.15578428
10/1/2011,-0.02112411
11/1/2011,-0.1141091
12/1/2011,-0.64066315
1/1/2012,0.22201945
2/1/2012,0.28661388
3/1/2012,0.05900158
4/1/2012,0.3072447
5/1/2012,0.19485264
6/1/2012,0.26831833
7/1/2012,-0.71846265
8/1/2012,0.16312137
9/1/2012,0.21265346
10/1/2012,0.42188326
11/1/2012,-0.43972975
12/1/2012,-0.14365342
1/1/2013,-0.18987833
2/1/2013,0.15969545
3/1/2013,0.19589229
4/1/2013,-0.16973343
5/1/2013,0.19151051
6/1/2013,-0.71567035
7/1/2013,-0.701205
8/1/2013,-0.8776461
9/1/2013,0.09244165
10/1/2013,0.055692285
11/1/2013,-0.46476293
12/1/2013,-0.5766839
1/1/2014,0.066158
2/1/2014,0.31500947
3/1/2014,0.20314394
4/1/2014,0.045101285
5/1/2014,0.6339668
6/1/2014,-1.2221358
7/1/2014,-1.2839166
8/1/2014,-0.28657538
9/1/2014,0.23602709
10/1/2014,-0.19033518
11/1/2014,-0.7452631
12/1/2014,-1.0369337
1/1/2015,0.24873403
2/1/2015,0.092367575
3/1/2015,0.32837468
4/1/2015,0.2727249
5/1/2015,0.54380345
6/1/2015,-0.13351496
7/1/2015,-0.65501595
8/1/2015,0.01729697
9/1/2015,0.63730717
10/1/2015,-0.111869395
11/1/2015,-0.46308717
12/1/2015,0.012776822
1/1/2016,0.18027699
2/1/2016,0.18698984
3/1/2016,0.47252297
4/1/2016,0.79868066
5/1/2016,0.10744694
6/1/2016,-0.41068134
7/1/2016,-1.1692737
8/1/2016,-1.0874553
9/1/2016,-0.51642513
10/1/2016,-0.6199641
11/1/2016,-0.2760874
12/1/2016,-0.29279664
1/1/2017,0.031095523
2/1/2017,0.15246058
3/1/2017,0.4853266
4/1/2017,-0.23148948
5/1/2017,0.18593943
6/1/2017,-0.12516363
7/1/2017,-0.77578384
8/1/2017,-0.7268132
9/1/2017,0.21042675
10/1/2017,-0.49140382
11/1/2017,-0.59723365
12/1/2017,-0.24717425
1/1/2018,0.04443761
2/1/2018,0.15303129
3/1/2018,0.119666755
4/1/2018,0.33338603
5/1/2018,0.59778494
6/1/2018,0.26164302
7/1/2018,-1.260539
8/1/2018,-1.1687087
9/1/2018,-0.37842292
10/1/2018,-0.4847687
11/1/2018,-0.53210235
12/1/2018,-0.65567744
1/1/2019,-0.11471556
2/1/2019,-0.08461057
3/1/2019,0.0778981
4/1/2019,-0.14299724
5/1/2019,-0.17247868
6/1/2019,-0.9032382
7/1/2019,-0.8097346
8/1/2019,-0.1274024
9/1/2019,0.28444996
10/1/2019,-0.64612687
11/1/2019,-0.21930912
12/1/2019,-0.522717
1/1/2020,-0.106388375
2/1/2020,0.18698393
3/1/2020,-0.11129658
4/1/2020,0.47641775
5/1/2020,-0.5013954
6/1/2020,-0.88152826
7/1/2020,-1.2421824
8/1/2020,-0.5381355
9/1/2020,-0.18361089
10/1/2020,-0.88879204
11/1/2020,-0.55490804
12/1/2020,0.22313216
1/1/2021,0.032780007
2/1/2021,0.12465854
3/1/2021,0.15584177
4/1/2021,0.4558268
5/1/2021,0.34456488
6/1/2021,-0.8804165
7/1/2021,-0.7039905
8/1/2021,-0.5743183
9/1/2021,0.016189046
10/1/2021,-0.22427075
11/1/2021,-0.27884966
12/1/2021,-0.13307886
1/1/2022,0.04780718
2/1/2022,0.018916503
3/1/2022,0.15750933
4/1/2022,0.49813706
5/1/2022,0.40690303
6/1/2022,0.2922499
7/1/2022,-0.31384844
8/1/2022,-0.51810503
9/1/2022,-0.29603538
10/1/2022,0.21375337
11/1/2022,0.2070112
12/1/2022,-0.1464328
1/1/2023,0.10348588
2/1/2023,0.18085842
3/1/2023,0.20148598
4/1/2023,0.44470558
5/1/2023,-0.14799848
6/1/2023,-0.43349874
7/1/2023,-0.6772819
8/1/2023,-0.89933693
9/1/2023,0.06126353
10/1/2023,-0.020014688
11/1/2023,-0.32396257
12/1/2023,-0.066284135
1/1/2024,0.022197943
2/1/2024,0.16806899
3/1/2024,-0.11798601
4/1/2024,0.3255969
5/1/2024,0.58054376
6/1/2024,-0.27097857
7/1/2024,-0.30939317
8/1/2024,-0.78691435
9/1/2024,-0.2387096
10/1/2024,-0.66894066
11/1/2024,-1.2433928
12/1/2024,-0.85436034
1/1/2025,0.14909457
2/1/2025,0.053965434
3/1/2025,-0.056769058
4/1/2025,-0.1808523
5/1/2025,0.2326945
6/1/2025,-0.43016207
7/1/2025,-0.96334267
8/1/2025,0.1770381
9/1/2025,0.6211661
10/1/2025,0.389061
11/1/2025,0.15972081
12/1/2025,-0.032915294
